,city,year,month,ridership,Mode
116,Philadelphia,2023,11,368386.0,bus
117,Philadelphia,2023,11,259316.0,rail_boardings
118,Philadelphia,2023,12,347255.0,bus
119,Philadelphia,2023,12,243838.0,rail_boardings
120,Philadelphia,2024,1,343510.0,bus
121,Philadelphia,2024,1,238817.0,rail_boardings
122,Philadelphia,2024,2,374784.0,bus
123,Philadelphia,2024,2,257171.0,rail_boardings
124,Philadelphia,2024,3,344983.0,bus
125,Philadelphia,2024,3,250580.0,rail_boardings
126,Philadelphia,2024,4,362983.0,bus
127,Philadelphia,2024,4,274656.0,rail_boardings
128,Philadelphia,2024,5,381468.0,bus
129,Philadelphia,2024,5,269949.0,rail_boardings
130,Philadelphia,2024,6,341764.0,bus
131,Philadelphia,2024,6,261852.0,rail_boardings
132,Philadelphia,2024,7,322859.0,bus
133,Philadelphia,2024,7,261900.0,rail_boardings
134,Philadelphia,2024,8,334527.0,bus
135,Philadelphia,2024,8,279245.0,rail_boardings
136,Philadelphia,2024,9,401877.0,bus
137,Philadelphia,2024,9,314621.0,rail_boardings
138,Philadelphia,2024,10,405318.0,bus
139,Philadelphia,2024,10,317683.0,rail_boardings
140,Philadelphia,2024,11,382848.0,bus
141,Philadelphia,2024,11,308695.0,rail_boardings
142,Philadelphia,2024,12,350305.0,bus
143,Philadelphia,2024,12,285100.0,rail_boardings
144,Philadelphia,2025,1,354820.0,bus
145,Philadelphia,2025,1,282604.0,rail_boardings
146,Philadelphia,2025,2,375744.0,bus
147,Philadelphia,2025,2,305500.0,rail_boardings
148,Philadelphia,2025,3,382227.0,bus
149,Philadelphia,2025,3,289200.0,rail_boardings
150,Philadelphia,2025,4,377072.0,bus
151,Philadelphia,2025,4,299200.0,rail_boardings
152,Philadelphia,2025,5,387744.0,bus
153,Philadelphia,2025,5,305000.0,rail_boardings
154,Philadelphia,2025,6,345285.0,bus
155,Philadelphia,2025,6,295516.0,rail_boardings
156,Philadelphia,2025,7,334079.0,bus
157,Philadelphia,2025,7,280426.0,rail_boardings
158,Philadelphia,2025,8,331653.0,bus
159,Philadelphia,2025,8,273112.0,rail_boardings
160,Philadelphia,2025,9,377001.0,bus
161,Philadelphia,2025,9,313951.0,rail_boardings
162,Philadelphia,2025,10,392615.0,bus
163,Philadelphia,2025,10,309604.0,rail_boardings
164,Chicago,2019,1,563028.0,bus
165,Chicago,2019,2,652809.8571428572,bus
166,Chicago,2019,3,653778.9354838709,bus
167,Chicago,2019,4,664562.6666666666,bus
168,Chicago,2019,5,682092.5161290322,bus
169,Chicago,2019,6,659809.8,bus
170,Chicago,2019,7,642061.8387096775,bus
171,Chicago,2019,8,643248.6451612903,bus
172,Chicago,2019,9,695255.9666666667,bus
173,Chicago,2019,10,703238.7096774194,bus
174,Chicago,2019,11,643480.2666666667,bus
175,Chicago,2019,12,599792.0645161291,bus
176,Chicago,2020,1,628464.0967741936,bus
177,Chicago,2020,2,656210.8620689656,bus
178,Chicago,2020,3,430343.7419354839,bus
179,Chicago,2020,4,195055.06666666668,bus
180,Chicago,2020,5,220091.90322580645,bus
181,Chicago,2020,6,244389.7,bus
182,Chicago,2020,7,277691.1935483871,bus
183,Chicago,2020,8,275514.03225806454,bus
184,Chicago,2020,9,286440.4666666667,bus
185,Chicago,2020,10,286671.0967741936,bus
186,Chicago,2020,11,249798.06666666668,bus
