id,date,daytype,member,rides,route,rowID,type
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065404,2013-06-16T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,452,R55,row-1065404,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065405,2013-06-17T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,654,R55,row-1065405,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065406,2013-06-18T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,728,R55,row-1065406,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065407,2013-06-19T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,663,R55,row-1065407,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065408,2013-06-20T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,505,R55,row-1065408,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065409,2013-06-21T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,743,R55,row-1065409,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065410,2013-06-22T00:00:00,A,https://data.cityofchicago.org/resource/jyb9-n7fm,763,R55,row-1065410,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065411,2013-06-23T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,681,R55,row-1065411,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065412,2013-06-24T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,587,R55,row-1065412,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065413,2013-06-25T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,659,R55,row-1065413,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065414,2013-06-26T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,599,R55,row-1065414,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065415,2013-06-27T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,791,R55,row-1065415,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065416,2013-06-28T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,561,R55,row-1065416,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065417,2013-06-29T00:00:00,A,https://data.cityofchicago.org/resource/jyb9-n7fm,785,R55,row-1065417,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065418,2013-06-30T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,591,R55,row-1065418,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065419,2013-07-01T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,852,R55,row-1065419,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065420,2013-07-02T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,500,R55,row-1065420,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065421,2013-07-03T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,573,R55,row-1065421,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065422,2013-07-04T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,557,R55,row-1065422,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065423,2013-07-05T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,868,R55,row-1065423,https://data.cityofchicago.org/resource/jyb9-n7fm
