,Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,city
131,2019,9,55,4905.0,Philadelphia
132,2019,9,56,12058.0,Philadelphia
133,2019,9,57,11012.0,Philadelphia
134,2019,9,58,8439.0,Philadelphia
135,2019,9,59,4996.0,Philadelphia
136,2019,9,60,10707.0,Philadelphia
137,2019,9,61,4171.0,Philadelphia
138,2019,9,62,246.0,Philadelphia
139,2019,9,64,6262.0,Philadelphia
140,2019,9,65,8344.0,Philadelphia
141,2019,9,66,11032.0,Philadelphia
142,2019,9,67,4933.0,Philadelphia
143,2019,9,68,2129.0,Philadelphia
144,2019,9,70,8365.0,Philadelphia
145,2019,9,73,2493.0,Philadelphia
146,2019,9,75,3320.0,Philadelphia
147,2019,9,77,809.0,Philadelphia
148,2019,9,78,83.0,Philadelphia
149,2019,9,79,5555.0,Philadelphia
150,2019,9,80,238.0,Philadelphia
151,2019,9,84,3734.0,Philadelphia
152,2019,9,88,2291.0,Philadelphia
153,2019,9,89,2005.0,Philadelphia
154,2019,9,90,447.0,Philadelphia
155,2019,9,92,347.0,Philadelphia
156,2019,9,93,1323.0,Philadelphia
157,2019,9,94,543.0,Philadelphia
158,2019,9,95,607.0,Philadelphia
159,2019,9,96,1507.0,Philadelphia
160,2019,9,97,690.0,Philadelphia
161,2019,9,98,1032.0,Philadelphia
162,2019,9,99,1279.0,Philadelphia
163,2019,9,D1,4180.0,Philadelphia
164,2019,9,D2,4235.0,Philadelphia
165,2019,9,103,1347.0,Philadelphia
166,2019,9,104,3583.0,Philadelphia
167,2019,9,105,1294.0,Philadelphia
168,2019,9,106,1395.0,Philadelphia
169,2019,9,107,1082.0,Philadelphia
170,2019,9,108,5730.0,Philadelphia
171,2019,9,109,4561.0,Philadelphia
172,2019,9,110,2116.0,Philadelphia
173,2019,9,111,1575.0,Philadelphia
174,2019,9,112,1368.0,Philadelphia
175,2019,9,113,7312.0,Philadelphia
176,2019,9,114,2056.0,Philadelphia
177,2019,9,115,1316.0,Philadelphia
178,2019,9,117,2142.0,Philadelphia
179,2019,9,118,581.0,Philadelphia
180,2019,9,119,758.0,Philadelphia
181,2019,9,120,451.0,Philadelphia
182,2019,9,123,900.0,Philadelphia
183,2019,9,124,1804.0,Philadelphia
184,2019,9,125,2265.0,Philadelphia
185,2019,9,126,656.0,Philadelphia
186,2019,9,127,324.0,Philadelphia
187,2019,9,128,383.0,Philadelphia
188,2019,9,129,923.0,Philadelphia
189,2019,9,130,672.0,Philadelphia
190,2019,9,131,686.0,Philadelphia
191,2019,9,132,392.0,Philadelphia
192,2019,9,133,90.0,Philadelphia
193,2019,9,139,424.0,Philadelphia
194,2019,9,150,38.0,Philadelphia
195,2019,9,201,159.0,Philadelphia
196,2019,9,204,222.0,Philadelphia
197,2019,9,206,172.0,Philadelphia
198,2019,9,310,442.0,Philadelphia
199,2019,9,311,228.0,Philadelphia
200,2019,9,47M,932.0,Philadelphia
201,2019,9,BLVDDIR,3401.0,Philadelphia
202,2019,9,B1 OWL,1861.0,Philadelphia
203,2019,9,63,16615.0,Philadelphia
204,2019,9,71,4498.0,Philadelphia
205,2019,9,41,3064.0,Philadelphia
206,2019,9,K,9320.0,Philadelphia
207,2019,9,51,7330.0,Philadelphia
208,2019,9,LUCYGO,1633.0,Philadelphia
209,2019,9,LUCYGR,1152.0,Philadelphia
210,2019,9,L1 OWL,2055.0,Philadelphia
211,2019,9,82,10194.0,Philadelphia
212,2019,9,81,5581.0,Philadelphia
213,2019,10,1,2986.0,Philadelphia
214,2019,10,2,5469.0,Philadelphia
215,2019,10,3,8836.0,Philadelphia
216,2019,10,4,7359.0,Philadelphia
217,2019,10,5,3798.0,Philadelphia
218,2019,10,6,5993.0,Philadelphia
219,2019,10,7,5216.0,Philadelphia
220,2019,10,8,2682.0,Philadelphia
221,2019,10,9,4856.0,Philadelphia
222,2019,10,T1,10422.0,Philadelphia
223,2019,10,T4,12150.0,Philadelphia
224,2019,10,12,2606.0,Philadelphia
225,2019,10,T3,13221.0,Philadelphia
226,2019,10,14,6102.0,Philadelphia
227,2019,10,G1,10194.0,Philadelphia
228,2019,10,16,7259.0,Philadelphia
229,2019,10,17,9220.0,Philadelphia
230,2019,10,18,14189.0,Philadelphia
231,2019,10,19,1405.0,Philadelphia
232,2019,10,20,4893.0,Philadelphia
233,2019,10,21,10013.0,Philadelphia
234,2019,10,22,4426.0,Philadelphia
235,2019,10,23,16409.0,Philadelphia
236,2019,10,24,2366.0,Philadelphia
237,2019,10,25,4481.0,Philadelphia
238,2019,10,26,11711.0,Philadelphia
239,2019,10,27,4608.0,Philadelphia
240,2019,10,28,2082.0,Philadelphia
241,2019,10,29,4632.0,Philadelphia
242,2019,10,30,1329.0,Philadelphia
243,2019,10,31,4974.0,Philadelphia
244,2019,10,32,5022.0,Philadelphia
245,2019,10,33,11772.0,Philadelphia
