,service_date,day_type,bus,rail_boardings,total_rides,year,month
6758,2019-07-04,U,386135,354474,740609,2019,7
6759,2019-07-05,W,593204,492198,1085402,2019,7
6760,2019-07-06,A,464539,390851,855390,2019,7
6761,2019-07-07,U,365003,328344,693347,2019,7
6762,2019-07-08,W,738529,696647,1435176,2019,7
6763,2019-07-09,W,760765,733255,1494020,2019,7
6764,2019-07-10,W,750223,735504,1485727,2019,7
6765,2019-07-11,W,761712,767177,1528889,2019,7
6766,2019-07-12,W,738700,777202,1515902,2019,7
6767,2019-07-13,A,496000,471671,967671,2019,7
6768,2019-07-14,U,386786,362994,749780,2019,7
6769,2019-07-15,W,733408,723684,1457092,2019,7
6770,2019-07-16,W,736299,746731,1483030,2019,7
6771,2019-07-17,W,751727,751160,1502887,2019,7
6772,2019-07-18,W,681127,699545,1380672,2019,7
6773,2019-07-19,W,700392,721558,1421950,2019,7
6774,2019-07-20,A,466646,419897,886543,2019,7
6775,2019-07-21,U,360488,342739,703227,2019,7
6776,2019-07-22,W,733191,716299,1449490,2019,7
6777,2019-07-23,W,754783,731712,1486495,2019,7
6778,2019-07-24,W,754694,737880,1492574,2019,7
6779,2019-07-25,W,746240,746890,1493130,2019,7
6780,2019-07-26,W,728460,713766,1442226,2019,7
6781,2019-07-27,A,509542,417935,927477,2019,7
6782,2019-07-28,U,399059,314226,713285,2019,7
6783,2019-07-29,W,677033,663313,1340346,2019,7
6784,2019-07-30,W,744356,721545,1465901,2019,7
6785,2019-07-31,W,738630,739592,1478222,2019,7
6786,2019-08-01,W,763703,795333,1559036,2019,8
6787,2019-08-02,W,740366,804952,1545318,2019,8
6788,2019-08-03,A,497883,512548,1010431,2019,8
6789,2019-08-04,U,375863,416740,792603,2019,8
6790,2019-08-05,W,727517,724021,1451538,2019,8
6791,2019-08-06,W,737702,738151,1475853,2019,8
6792,2019-08-07,W,745371,746207,1491578,2019,8
6793,2019-08-08,W,746213,735310,1481523,2019,8
6794,2019-08-09,W,720081,716084,1436165,2019,8
6795,2019-08-10,A,490001,428555,918556,2019,8
6796,2019-08-11,U,376464,321310,697774,2019,8
6797,2019-08-12,W,672626,659442,1332068,2019,8
6798,2019-08-13,W,715539,697693,1413232,2019,8
6799,2019-08-14,W,708180,698339,1406519,2019,8
6800,2019-08-15,W,723069,703513,1426582,2019,8
6801,2019-08-16,W,699501,675393,1374894,2019,8
6802,2019-08-17,A,456968,396155,853123,2019,8
6803,2019-08-18,U,330848,289890,620738,2019,8
6804,2019-08-19,W,697759,669727,1367486,2019,8
6805,2019-08-20,W,670195,689224,1359419,2019,8
6806,2019-08-21,W,732929,724089,1457018,2019,8
6807,2019-08-22,W,739175,741995,1481170,2019,8
6808,2019-08-23,W,720876,723775,1444651,2019,8
6809,2019-08-24,A,499355,424284,923639,2019,8
6810,2019-08-25,U,395847,327749,723596,2019,8
6811,2019-08-26,W,693566,678343,1371909,2019,8
6812,2019-08-27,W,776670,740341,1517011,2019,8
6813,2019-08-28,W,772893,736506,1509399,2019,8
6814,2019-08-29,W,769645,747141,1516786,2019,8
6815,2019-08-30,W,761440,717490,1478930,2019,8
6816,2019-08-31,A,482463,428658,911121,2019,8
6817,2019-09-01,U,379610,357032,736642,2019,9
6818,2019-09-02,U,374967,328376,703343,2019,9
6819,2019-09-03,W,821674,738399,1560073,2019,9
6820,2019-09-04,W,861286,762868,1624154,2019,9
6821,2019-09-05,W,853186,800432,1653618,2019,9
6822,2019-09-06,W,821645,744323,1565968,2019,9
6823,2019-09-07,A,486423,420502,906925,2019,9
6824,2019-09-08,U,344385,310823,655208,2019,9
6825,2019-09-09,W,829266,737160,1566426,2019,9
6826,2019-09-10,W,856513,769458,1625971,2019,9
6827,2019-09-11,W,848169,777407,1625576,2019,9
6828,2019-09-12,W,845028,795224,1640252,2019,9
6829,2019-09-13,W,822197,800812,1623009,2019,9
6830,2019-09-14,A,498571,487396,985967,2019,9
6831,2019-09-15,U,353264,352467,705731,2019,9
6832,2019-09-16,W,825739,777685,1603424,2019,9
6833,2019-09-17,W,856186,797063,1653249,2019,9
6834,2019-09-18,W,859904,807081,1666985,2019,9
6835,2019-09-19,W,845624,816086,1661710,2019,9
6836,2019-09-20,W,830757,803291,1634048,2019,9
6837,2019-09-21,A,489155,440464,929619,2019,9
6838,2019-09-22,U,338418,299658,638076,2019,9
6839,2019-09-23,W,832762,766712,1599474,2019,9
6840,2019-09-24,W,850825,780378,1631203,2019,9
6841,2019-09-25,W,859089,781453,1640542,2019,9
6842,2019-09-26,W,853333,791418,1644751,2019,9
6843,2019-09-27,W,734962,699996,1434958,2019,9
6844,2019-09-28,A,476234,401745,877979,2019,9
6845,2019-09-29,U,358174,294350,652524,2019,9
6846,2019-09-30,W,850333,738159,1588492,2019,9
6847,2019-10-01,W,905477,772082,1677559,2019,10
6848,2019-10-02,W,844694,765652,1610346,2019,10
6849,2019-10-03,W,885919,781701,1667620,2019,10
6850,2019-10-04,W,851906,740946,1592852,2019,10
6851,2019-10-05,A,492689,388710,881399,2019,10
6852,2019-10-06,U,403747,306647,710394,2019,10
6853,2019-10-07,W,845146,748413,1593559,2019,10
6854,2019-10-08,W,868009,773805,1641814,2019,10
6855,2019-10-09,W,857532,766121,1623653,2019,10
6856,2019-10-10,W,855556,803767,1659323,2019,10
6857,2019-10-11,W,776609,762011,1538620,2019,10
6858,2019-10-12,A,480048,470284,950332,2019,10
6859,2019-10-13,U,319885,522816,842701,2019,10
6860,2019-10-14,W,666607,698402,1365009,2019,10
6861,2019-10-15,W,844826,788101,1632927,2019,10
6862,2019-10-16,W,845543,782133,1627676,2019,10
6863,2019-10-17,W,787285,790202,1577487,2019,10
6864,2019-10-18,W,762811,778466,1541277,2019,10
6865,2019-10-19,A,499700,467794,967494,2019,10
6866,2019-10-20,U,377822,340156,717978,2019,10
6867,2019-10-21,W,739027,727743,1466770,2019,10
6868,2019-10-22,W,772142,750644,1522786,2019,10
6869,2019-10-23,W,789783,791468,1581251,2019,10
6870,2019-10-24,W,790853,766559,1557412,2019,10
6871,2019-10-25,W,757907,729221,1487128,2019,10
6872,2019-10-26,A,412819,356371,769190,2019,10
6873,2019-10-27,U,390090,314740,704830,2019,10
6874,2019-10-28,W,762580,729809,1492389,2019,10
6875,2019-10-29,W,781400,752054,1533454,2019,10
6876,2019-10-30,W,733054,721966,1455020,2019,10
6877,2019-10-31,W,698934,693962,1392896,2019,10
6878,2019-11-01,W,798542,719267,1517809,2019,11
6879,2019-11-02,A,467877,381954,849831,2019,11
6880,2019-11-03,U,356367,310621,666988,2019,11
6881,2019-11-04,W,848867,749735,1598602,2019,11
6882,2019-11-05,W,855055,769233,1624288,2019,11
6883,2019-11-06,W,840399,762015,1602414,2019,11
6884,2019-11-07,W,821063,768460,1589523,2019,11
6885,2019-11-08,W,718820,702518,1421338,2019,11
6886,2019-11-09,A,479816,386355,866171,2019,11
6887,2019-11-10,U,353042,292170,645212,2019,11
6888,2019-11-11,W,590714,604475,1195189,2019,11
6889,2019-11-12,W,756604,724448,1481052,2019,11
6890,2019-11-13,W,762247,729140,1491387,2019,11
6891,2019-11-14,W,764328,745044,1509372,2019,11
6892,2019-11-15,W,794430,732607,1527037,2019,11
6893,2019-11-16,A,467987,398924,866911,2019,11
6894,2019-11-17,U,340985,280372,621357,2019,11
6895,2019-11-18,W,807951,731335,1539286,2019,11
6896,2019-11-19,W,822152,755257,1577409,2019,11
6897,2019-11-20,W,839934,756096,1596030,2019,11
6898,2019-11-21,W,790016,752762,1542778,2019,11
6899,2019-11-22,W,817445,782838,1600283,2019,11
6900,2019-11-23,A,468337,443394,911731,2019,11
6901,2019-11-24,U,358133,301849,659982,2019,11
6902,2019-11-25,W,810928,721624,1532552,2019,11
6903,2019-11-26,W,791651,707015,1498666,2019,11
6904,2019-11-27,W,669245,576379,1245624,2019,11
6905,2019-11-28,U,244233,186732,430965,2019,11
6906,2019-11-29,W,480801,373012,853813,2019,11
6907,2019-11-30,A,386439,302733,689172,2019,11
6908,2019-12-01,U,315646,257317,572963,2019,12
6909,2019-12-02,W,803894,702424,1506318,2019,12
6910,2019-12-03,W,849440,732651,1582091,2019,12
6911,2019-12-04,W,837738,739104,1576842,2019,12
6912,2019-12-05,W,833516,761399,1594915,2019,12
6913,2019-12-06,W,799551,729231,1528782,2019,12
6914,2019-12-07,A,472207,404394,876601,2019,12
6915,2019-12-08,U,347917,286023,633940,2019,12
6916,2019-12-09,W,786431,690443,1476874,2019,12
6917,2019-12-10,W,770888,697269,1468157,2019,12
6918,2019-12-11,W,753922,692730,1446652,2019,12
6919,2019-12-12,W,787393,716707,1504100,2019,12
6920,2019-12-13,W,788504,704438,1492942,2019,12
6921,2019-12-14,A,471203,367508,838711,2019,12
6922,2019-12-15,U,348516,255659,604175,2019,12
6923,2019-12-16,W,743694,648766,1392460,2019,12
6924,2019-12-17,W,765207,678194,1443401,2019,12
6925,2019-12-18,W,734493,658439,1392932,2019,12
6926,2019-12-19,W,745959,664554,1410513,2019,12
6927,2019-12-20,W,731997,640236,1372233,2019,12
6928,2019-12-21,A,454167,356991,811158,2019,12
6929,2019-12-22,U,350959,283094,634053,2019,12
6930,2019-12-23,W,601685,501524,1103209,2019,12
6931,2019-12-24,W,462098,310604,772702,2019,12
6932,2019-12-25,U,200121,133009,333130,2019,12
6933,2019-12-26,W,517911,402948,920859,2019,12
6934,2019-12-27,W,552198,445835,998033,2019,12
6935,2019-12-28,A,394869,298646,693515,2019,12
6936,2019-12-29,U,315428,251105,566533,2019,12
6937,2019-12-30,W,544713,480721,1025434,2019,12
6938,2019-12-31,W,511289,431677,942966,2019,12
6939,2020-01-01,U,267300,255759,523059,2020,1
6940,2020-01-02,W,651421,565139,1216560,2020,1
6941,2020-01-03,W,688165,578202,1266367,2020,1
6942,2020-01-04,A,409243,306656,715899,2020,1
6943,2020-01-05,U,314424,234155,548579,2020,1
6944,2020-01-06,W,750349,659521,1409870,2020,1
6945,2020-01-07,W,775765,677497,1453262,2020,1
6946,2020-01-08,W,744261,665227,1409488,2020,1
6947,2020-01-09,W,758063,679244,1437307,2020,1
6948,2020-01-10,W,753866,654344,1408210,2020,1
6949,2020-01-11,A,345787,281493,627280,2020,1
6950,2020-01-12,U,294457,237736,532193,2020,1
6951,2020-01-13,W,775861,699927,1475788,2020,1
6952,2020-01-14,W,807239,720277,1527516,2020,1
6953,2020-01-15,W,794821,720057,1514878,2020,1
6954,2020-01-16,W,774375,715978,1490353,2020,1
6955,2020-01-17,W,737073,687789,1424862,2020,1
6956,2020-01-18,A,371460,319878,691338,2020,1
6957,2020-01-19,U,256029,219005,475034,2020,1
6958,2020-01-20,W,477995,410324,888319,2020,1
6959,2020-01-21,W,789718,712386,1502104,2020,1
6960,2020-01-22,W,794213,715399,1509612,2020,1
6961,2020-01-23,W,768601,717469,1486070,2020,1
6962,2020-01-24,W,745526,677320,1422846,2020,1
6963,2020-01-25,A,408051,320905,728956,2020,1
6964,2020-01-26,U,318824,241153,559977,2020,1
6965,2020-01-27,W,790014,697371,1487385,2020,1
6966,2020-01-28,W,802484,715500,1517984,2020,1
6967,2020-01-29,W,793740,711177,1504917,2020,1
6968,2020-01-30,W,787640,718793,1506433,2020,1
6969,2020-01-31,W,735622,665472,1401094,2020,1
6970,2020-02-01,A,449112,325925,775037,2020,2
6971,2020-02-02,U,352056,253149,605205,2020,2
6972,2020-02-03,W,816538,689308,1505846,2020,2
6973,2020-02-04,W,806946,710072,1517018,2020,2
6974,2020-02-05,W,802795,707772,1510567,2020,2
6975,2020-02-06,W,761859,701795,1463654,2020,2
6976,2020-02-07,W,778480,676805,1455285,2020,2
6977,2020-02-08,A,456540,325289,781829,2020,2
6978,2020-02-09,U,310705,223411,534116,2020,2
6979,2020-02-10,W,799851,694168,1494019,2020,2
6980,2020-02-11,W,819275,717350,1536625,2020,2
6981,2020-02-12,W,785838,697300,1483138,2020,2
6982,2020-02-13,W,746798,689019,1435817,2020,2
6983,2020-02-14,W,674960,628729,1303689,2020,2
6984,2020-02-15,A,408435,326795,735230,2020,2
6985,2020-02-16,U,338343,267790,606133,2020,2
6986,2020-02-17,W,567523,502927,1070450,2020,2
6987,2020-02-18,W,815098,711305,1526403,2020,2
6988,2020-02-19,W,804097,707598,1511695,2020,2
6989,2020-02-20,W,778698,700575,1479273,2020,2
6990,2020-02-21,W,782853,675973,1458826,2020,2
6991,2020-02-22,A,463771,344117,807888,2020,2
6992,2020-02-23,U,357784,260505,618289,2020,2
6993,2020-02-24,W,789498,682036,1471534,2020,2
6994,2020-02-25,W,781725,693749,1475474,2020,2
6995,2020-02-26,W,756936,682501,1439437,2020,2
6996,2020-02-27,W,778992,698886,1477878,2020,2
6997,2020-02-28,W,786008,665937,1451945,2020,2
6998,2020-02-29,A,458601,337983,796584,2020,2
6999,2020-03-01,U,357257,267438,624695,2020,3
7000,2020-03-02,W,785700,666046,1451746,2020,3
7001,2020-03-03,W,834640,701777,1536417,2020,3
7002,2020-03-04,W,815420,699192,1514612,2020,3
7003,2020-03-05,W,803260,698732,1501992,2020,3
7004,2020-03-06,W,767084,655010,1422094,2020,3
7005,2020-03-07,A,455672,366530,822202,2020,3
7006,2020-03-08,U,343291,269577,612868,2020,3
7007,2020-03-09,W,736013,647602,1383615,2020,3
7008,2020-03-10,W,787025,678996,1466021,2020,3
7009,2020-03-11,W,767610,660739,1428349,2020,3
7010,2020-03-12,W,737628,601682,1339310,2020,3
7011,2020-03-13,W,674594,496474,1171068,2020,3
7012,2020-03-14,A,347925,235841,583766,2020,3
7013,2020-03-15,U,256591,166575,423166,2020,3
7014,2020-03-16,W,493179,284844,778023,2020,3
7015,2020-03-17,W,390091,217294,607385,2020,3
7016,2020-03-18,W,320242,179316,499558,2020,3
7017,2020-03-19,W,305501,163013,468514,2020,3
7018,2020-03-20,W,303882,152797,456679,2020,3
7019,2020-03-21,A,185406,86695,272101,2020,3
7020,2020-03-22,U,113282,60490,173772,2020,3
7021,2020-03-23,W,212121,103992,316113,2020,3
7022,2020-03-24,W,220319,105312,325631,2020,3
7023,2020-03-25,W,229414,106913,336327,2020,3
7024,2020-03-26,W,211746,100860,312606,2020,3
7025,2020-03-27,W,220715,102714,323429,2020,3
7026,2020-03-28,A,144561,68572,213133,2020,3
7027,2020-03-29,U,111188,57736,168924,2020,3
7028,2020-03-30,W,208762,96996,305758,2020,3
7029,2020-03-31,W,200537,94709,295246,2020,3
7030,2020-04-01,W,235503,100042,335545,2020,4
7031,2020-04-02,W,214222,95183,309405,2020,4
7032,2020-04-03,W,240528,101015,341543,2020,4
7033,2020-04-04,A,154302,65727,220029,2020,4
7034,2020-04-05,U,118701,53173,171874,2020,4
7035,2020-04-06,W,199323,89714,289037,2020,4
7036,2020-04-07,W,202629,90824,293453,2020,4
7037,2020-04-08,W,197789,88894,286683,2020,4
7038,2020-04-09,W,189898,86725,276623,2020,4
7039,2020-04-10,W,202934,85608,288542,2020,4
7040,2020-04-11,A,161743,59808,221551,2020,4
7041,2020-04-12,U,117907,46243,164150,2020,4
7042,2020-04-13,W,199679,79074,278753,2020,4
7043,2020-04-14,W,196277,79616,275893,2020,4
7044,2020-04-15,W,199545,78844,278389,2020,4
7045,2020-04-16,W,213862,79764,293626,2020,4
7046,2020-04-17,W,205280,77935,283215,2020,4
7047,2020-04-18,A,175887,58347,234234,2020,4
7048,2020-04-19,U,135539,47512,183051,2020,4
7049,2020-04-20,W,225938,79017,304955,2020,4
7050,2020-04-21,W,219120,77886,297006,2020,4
7051,2020-04-22,W,213080,77822,290902,2020,4
7052,2020-04-23,W,214131,77918,292049,2020,4
7053,2020-04-24,W,225498,78966,304464,2020,4
7054,2020-04-25,A,156179,51764,207943,2020,4
7055,2020-04-26,U,145023,47350,192373,2020,4
7056,2020-04-27,W,230903,77830,308733,2020,4
7057,2020-04-28,W,229831,79284,309115,2020,4
7058,2020-04-29,W,205453,74942,280395,2020,4
7059,2020-04-30,W,224948,79783,304731,2020,4
7060,2020-05-01,W,272700,89139,361839,2020,5
7061,2020-05-02,A,210617,59142,269759,2020,5
7062,2020-05-03,U,155791,49160,204951,2020,5
7063,2020-05-04,W,244960,79706,324666,2020,5
7064,2020-05-05,W,224885,77485,302370,2020,5
7065,2020-05-06,W,248434,82526,330960,2020,5
7066,2020-05-07,W,247597,83941,331538,2020,5
7067,2020-05-08,W,242402,82107,324509,2020,5
7068,2020-05-09,A,206907,59372,266279,2020,5
7069,2020-05-10,U,134047,43773,177820,2020,5
7070,2020-05-11,W,236521,77650,314171,2020,5
7071,2020-05-12,W,244938,81217,326155,2020,5
7072,2020-05-13,W,259169,83529,342698,2020,5
7073,2020-05-14,W,211894,76152,288046,2020,5
7074,2020-05-15,W,261148,82454,343602,2020,5
7075,2020-05-16,A,204433,60144,264577,2020,5
7076,2020-05-17,U,119698,40451,160149,2020,5
7077,2020-05-18,W,242568,80822,323390,2020,5
7078,2020-05-19,W,228412,79752,308164,2020,5
7079,2020-05-20,W,253916,85596,339512,2020,5
7080,2020-05-21,W,244336,85164,329500,2020,5
7081,2020-05-22,W,255894,86436,342330,2020,5
7082,2020-05-23,A,198708,59164,257872,2020,5
7083,2020-05-24,U,171095,53281,224376,2020,5
7084,2020-05-25,U,170039,52921,222960,2020,5
7085,2020-05-26,W,260758,84940,345698,2020,5
7086,2020-05-27,W,258713,86518,345231,2020,5
7087,2020-05-28,W,250675,86579,337254,2020,5
7088,2020-05-29,W,265087,92565,357652,2020,5
7089,2020-05-30,A,210004,69848,279852,2020,5
7090,2020-05-31,U,86503,23544,110047,2020,5
7091,2020-06-01,W,146931,27517,174448,2020,6
7092,2020-06-02,W,154414,31544,185958,2020,6
7093,2020-06-03,W,207502,68423,275925,2020,6
7094,2020-06-04,W,236590,83605,320195,2020,6
7095,2020-06-05,W,252137,90734,342871,2020,6
7096,2020-06-06,A,184406,69622,254028,2020,6
7097,2020-06-07,U,143697,53232,196929,2020,6
